iter	RMSE
0	42816.59385
1	41928.23532
2	41143.4492
3	40497.91702
4	39751.32821
5	39038.24491
6	38336.64317
7	37705.61033
8	37004.3023
9	36379.49683
10	35677.98455
11	35158.74607
12	34662.22606
13	34117.37828
14	33649.238
15	33081.69521
16	32656.21254
17	32172.47622
18	31722.53887
19	31263.63787
20	30807.25089
21	30345.64581
22	29952.29418
23	29611.238
24	29179.30996
25	28715.82072
26	28319.37284
27	27940.96256
28	27676.59856
29	27385.28213
30	27130.29906
31	26865.42197
32	26574.52628
33	26230.58192
34	25959.2417
35	25685.92462
36	25405.62198
37	25061.43658
38	24788.18785
39	24512.98201
40	24273.74432
41	24032.08774
42	23802.52093
43	23559.91291
44	23302.0387
45	23137.5295
46	22891.41751
47	22657.43513
48	22434.97274
49	22236.72889
50	22043.87288
51	21836.48452
52	21645.52882
53	21469.62695
54	21293.14493
55	21116.77379
56	20990.32778
57	20795.96178
58	20617.85181
59	20464.01211
60	20320.80349
61	20173.50052
62	20010.2733
63	19856.02359
64	19714.69314
65	19571.42026
66	19430.34012
67	19295.25102
68	19145.5
69	19018.10091
70	18867.81758
71	18767.24149
72	18640.83233
73	18555.89917
74	18422.55055
75	18319.31732
76	18228.73438
77	18140.16019
78	18061.65
79	17972.61413
80	17868.74215
81	17801.8917
82	17711.40234
83	17643.29708
84	17585.6177
85	17493.09848
86	17407.13033
87	17349.70759
88	17294.70717
89	17237.2316
90	17166.6905
91	17046.35799
92	16976.7146
93	16903.58681
94	16853.3574
95	16803.25566
96	16747.74149
97	16667.37015
98	16598.83814
99	16517.29265
100	16452.41356
101	16406.67089
102	16357.54062
103	16297.29121
104	16228.55129
105	16162.14371
106	16085.08523
107	16046.09244
108	15985.01635
109	15945.39252
110	15899.3523
111	15854.52758
112	15797.10159
113	15758.42329
114	15737.05161
115	15679.99751
116	15637.14841
117	15580.49655
118	15541.11571
119	15480.59302
120	15442.30027
121	15394.58386
122	15333.81967
123	15282.99498
124	15232.9896
125	15202.8566
126	15179.02916
127	15142.20778
128	15078.61864
129	15052.94056
130	15016.69937
131	14966.97025
132	14901.70368
133	14851.87077
134	14834.06262
135	14808.30319
136	14783.06667
137	14729.99502
138	14675.99663
139	14631.7206
140	14584.4612
141	14529.75627
142	14496.47764
143	14440.87516
144	14378.5221
145	14360.73657
146	14333.58034
147	14284.72196
148	14239.7991
149	14173.18803
150	14147.02349
151	14099.02979
152	14086.30948
153	14047.23617
154	14000.11483
155	13947.42134
156	13898.51693
157	13853.14897
158	13830.32763
159	13795.40871
160	13747.88965
161	13683.69275
162	13651.52973
163	13608.86481
164	13579.64698
165	13546.45871
166	13527.47759
167	13491.78286
168	13444.84666
169	13419.16387
170	13400.93187
171	13372.41294
172	13344.29515
173	13328.13109
174	13315.11254
175	13267.38673
176	13232.65945
177	13197.61728
178	13150.15545
179	13118.80054
180	13102.19758
181	13088.65955
182	13054.65565
183	13040.90965
184	12999.44683
185	12961.46509
186	12944.69422
187	12898.26248
188	12881.41185
189	12845.70071
190	12819.74984
191	12802.50087
192	12778.4696
193	12752.08321
194	12741.00687
195	12711.83537
196	12703.32309
197	12681.85821
198	12660.40323
199	12601.08373
200	12584.52854
201	12574.35453
202	12508.67593
203	12478.15425
204	12465.66806
205	12458.19852
206	12448.06209
207	12433.75751
208	12407.76586
209	12353.52724
210	12343.96682
211	12310.78
212	12303.78995
213	12292.57091
214	12284.01745
215	12249.86645
216	12230.10355
217	12215.10328
218	12182.68294
219	12177.4018
220	12123.45016
221	12082.40512
222	12052.02851
223	12035.70526
224	12027.92032
225	12005.40259
226	11984.28893
227	11947.21726
228	11904.7447
229	11871.65964
230	11847.82932
231	11826.77408
232	11811.95103
233	11786.35444
234	11775.76062
235	11739.86869
236	11733.03562
237	11727.24213
238	11720.86505
239	11712.76391
240	11704.35189
241	11677.92132
242	11654.20494
243	11647.02287
244	11640.78549
245	11620.84001
246	11614.06029
247	11560.98749
248	11542.86184
249	11537.46582
250	11525.18326
251	11521.02587
252	11474.2708
253	11467.88626
254	11460.42117
255	11449.07476
256	11422.31081
257	11393.65446
258	11381.82462
259	11339.43571
260	11295.58231
261	11269.82836
262	11241.64522
263	11209.89261
264	11204.43643
265	11201.48256
266	11169.81559
267	11164.44223
268	11141.37075
269	11135.64706
270	11118.83251
271	11109.67673
272	11083.06444
273	11048.88625
274	11030.18425
275	11004.64191
276	11000.10495
277	10991.03765
278	10988.11052
279	10981.92511
280	10934.26374
281	10931.1315
282	10902.73086
283	10884.68815
284	10840.6969
285	10835.70368
286	10814.13038
287	10808.19193
288	10790.95008
289	10785.15494
290	10769.4161
291	10746.14691
292	10741.20855
293	10725.26081
294	10721.04769
295	10718.36636
296	10704.24172
297	10677.23831
298	10671.84181
299	10666.55254
300	10652.37318
301	10645.10739
302	10627.05664
303	10622.10543
304	10614.01046
305	10591.84514
306	10579.33952
307	10554.08745
308	10537.37776
309	10534.8616
310	10503.74518
311	10486.40892
312	10469.4805
313	10467.02596
314	10447.63113
315	10439.16464
316	10436.54953
317	10432.83588
318	10400.06044
319	10394.50668
320	10368.38846
321	10348.55066
322	10317.04913
323	10314.96369
324	10291.18869
325	10288.86435
326	10271.2109
327	10254.96831
328	10252.6413
329	10222.88677
330	10217.47251
331	10214.81205
332	10194.26398
333	10188.2943
334	10163.34895
335	10141.22522
336	10125.82583
337	10115.85166
338	10100.2135
339	10068.85232
340	10049.09627
341	10044.5714
342	10024.11843
343	10008.86012
344	10006.32661
345	9983.656293
346	9981.540706
347	9969.67211
348	9953.795389
349	9941.489378
350	9939.444492
351	9929.932043
352	9916.20397
353	9900.648949
354	9896.615604
355	9876.171504
356	9857.633956
357	9855.662346
358	9837.608119
359	9835.857865
360	9808.118169
361	9790.546899
362	9786.400879
363	9771.997467
364	9769.161743
365	9745.632058
366	9727.017482
367	9704.674045
368	9693.167654
369	9677.182457
370	9672.494249
371	9669.519656
372	9645.555981
373	9643.548492
374	9639.141206
375	9635.247345
376	9630.669216
377	9628.413951
378	9624.000078
379	9601.711263
380	9587.588265
381	9585.403573
382	9581.15327
383	9565.01489
384	9543.622189
385	9515.119636
386	9484.77273
387	9474.236025
388	9466.836616
389	9437.470004
390	9435.388814
391	9433.629482
392	9416.587279
393	9412.219579
394	9388.849001
395	9374.102142
396	9372.464603
397	9370.701993
398	9368.990165
399	9347.134196
400	9345.733271
401	9329.561425
402	9315.962054
403	9303.895656
404	9302.230784
405	9282.407942
406	9275.043748
407	9260.649695
408	9234.191757
409	9211.368629
410	9207.283971
411	9191.569111
412	9186.344775
413	9173.114842
414	9166.94438
415	9153.079925
416	9135.867203
417	9110.944286
418	9096.651919
419	9083.153044
420	9059.835643
421	9039.780672
422	9028.90756
423	9027.177672
424	9025.7732
425	9008.660237
426	8976.299829
427	8974.983753
428	8959.311065
429	8947.879143
430	8926.497329
431	8922.5931
432	8899.018288
433	8886.790423
434	8885.513583
435	8862.74206
436	8848.234882
437	8826.335537
438	8798.533803
439	8779.501996
440	8774.323703
441	8763.214519
442	8761.714995
443	8748.349678
444	8722.479415
445	8702.963118
446	8680.343677
447	8678.844037
448	8667.369613
449	8666.269198
450	8664.822656
451	8660.160771
452	8644.354917
453	8642.980498
454	8641.621834
455	8617.617272
456	8612.972054
457	8611.438632
458	8593.895871
459	8581.823786
460	8580.488217
461	8562.945962
462	8547.936172
463	8526.075439
464	8510.491326
465	8503.39471
466	8492.075203
467	8490.123807
468	8483.485253
469	8462.222278
470	8450.961445
471	8429.531226
472	8410.916822
473	8397.448292
474	8372.604545
475	8365.723608
476	8361.552822
477	8347.534003
478	8346.266862
