iter	Passed	Remaining
0	4	4522
1	8	4310
2	12	4194
3	16	4118
4	20	4113
5	24	4073
6	28	4051
7	32	4042
8	36	4033
9	40	4032
10	44	4025
11	48	4022
12	53	4039
13	57	4020
14	61	4011
15	65	4002
16	69	3993
17	72	3979
18	77	4008
19	81	4011
20	85	4001
21	89	3995
22	93	3985
23	97	3984
24	101	3975
25	106	3972
26	110	3973
27	114	3963
28	118	3956
29	122	3950
30	126	3939
31	130	3933
32	133	3925
33	137	3920
34	142	3918
35	146	3913
36	150	3908
37	154	3901
38	158	3895
39	162	3888
40	167	3920
41	172	3940
42	176	3931
43	180	3926
44	184	3919
45	189	3920
46	192	3913
47	197	3909
48	201	3908
49	205	3902
50	209	3895
51	213	3895
52	217	3891
53	221	3886
54	225	3877
55	229	3872
56	234	3884
57	239	3895
58	244	3894
59	248	3889
60	252	3885
61	256	3877
62	260	3871
63	264	3870
64	268	3862
65	272	3857
66	276	3855
67	280	3850
68	284	3843
69	288	3837
70	292	3833
71	296	3827
72	300	3820
73	304	3813
74	308	3806
75	312	3798
76	316	3792
77	320	3790
78	324	3784
79	328	3779
80	332	3774
81	336	3770
82	340	3764
83	344	3758
84	348	3753
85	352	3746
86	356	3742
87	360	3736
88	364	3732
89	368	3725
90	372	3719
91	376	3713
92	380	3713
93	384	3708
94	388	3703
95	392	3698
96	396	3694
97	400	3689
98	404	3684
99	408	3679
100	412	3674
101	416	3667
102	420	3661
103	424	3657
104	428	3651
105	432	3645
106	436	3640
107	440	3635
108	444	3630
109	448	3625
110	451	3619
111	456	3615
112	460	3611
113	463	3605
114	467	3601
115	472	3598
116	476	3593
117	480	3590
118	484	3585
119	488	3581
120	492	3576
121	496	3571
122	500	3567
123	504	3562
124	508	3558
125	512	3552
126	516	3548
127	520	3542
128	524	3538
129	527	3533
130	532	3529
131	536	3525
132	540	3520
133	543	3515
134	547	3510
135	551	3505
136	555	3500
137	559	3496
138	563	3491
139	567	3486
140	572	3485
141	576	3482
142	580	3477
143	584	3473
144	588	3469
145	592	3466
146	596	3462
147	600	3458
148	604	3453
149	608	3448
150	612	3444
151	616	3440
152	620	3437
153	625	3436
154	629	3431
155	633	3428
156	637	3423
157	642	3421
158	645	3416
159	650	3413
160	654	3408
161	658	3405
162	662	3401
163	666	3396
164	670	3391
165	674	3387
166	678	3384
167	682	3379
168	686	3375
169	690	3370
170	695	3369
171	698	3364
172	703	3360
173	707	3357
174	711	3352
175	715	3348
176	719	3344
177	723	3340
178	727	3336
179	731	3332
180	735	3328
181	739	3323
182	743	3318
183	747	3314
184	751	3311
185	755	3306
186	759	3302
187	763	3299
188	768	3297
189	772	3293
190	776	3288
191	780	3283
192	784	3278
193	788	3274
194	791	3269
195	796	3265
196	800	3261
197	803	3256
198	807	3251
199	812	3248
200	816	3244
201	820	3240
202	824	3236
203	828	3233
204	832	3228
205	836	3224
206	840	3220
207	844	3216
208	848	3211
209	852	3207
210	856	3202
211	860	3198
212	864	3193
213	868	3189
214	872	3185
215	876	3180
216	880	3176
217	884	3172
218	888	3168
219	892	3163
220	896	3159
221	900	3154
222	904	3150
223	908	3145
224	912	3142
225	916	3138
226	920	3133
227	924	3129
228	928	3125
229	932	3121
230	936	3117
231	940	3112
232	944	3108
233	948	3104
234	952	3099
235	956	3095
236	960	3090
237	964	3086
238	968	3082
239	972	3078
240	976	3074
241	980	3070
242	984	3065
243	988	3062
244	992	3057
245	996	3053
246	1000	3049
247	1004	3045
248	1008	3041
249	1012	3037
250	1016	3032
251	1020	3028
252	1024	3024
253	1028	3020
254	1032	3016
255	1036	3011
256	1040	3007
257	1044	3003
258	1048	2999
259	1052	2994
260	1056	2990
261	1060	2987
262	1064	2983
263	1068	2979
264	1072	2974
265	1076	2969
266	1080	2966
267	1084	2961
268	1088	2957
269	1092	2953
270	1096	2948
271	1100	2944
272	1104	2940
273	1108	2936
274	1112	2933
275	1116	2929
276	1120	2925
277	1124	2920
278	1128	2917
279	1132	2912
280	1137	2909
281	1141	2905
282	1145	2901
283	1149	2897
284	1153	2894
285	1157	2890
286	1161	2886
287	1165	2881
288	1169	2877
289	1173	2873
290	1177	2869
291	1181	2865
292	1185	2860
293	1189	2857
294	1193	2853
295	1197	2848
296	1201	2844
297	1206	2841
298	1210	2838
299	1215	2835
300	1219	2830
301	1222	2826
302	1226	2822
303	1230	2817
304	1234	2813
305	1238	2809
306	1242	2804
307	1246	2800
308	1250	2796
309	1254	2791
310	1258	2787
311	1262	2783
312	1266	2779
313	1271	2777
314	1276	2775
315	1281	2773
316	1285	2770
317	1289	2766
318	1293	2761
319	1297	2757
320	1301	2753
321	1307	2753
322	1311	2749
323	1315	2745
324	1319	2740
325	1323	2736
326	1327	2732
327	1331	2728
328	1335	2723
329	1339	2719
330	1343	2715
331	1347	2711
332	1351	2706
333	1355	2702
334	1359	2698
335	1363	2694
336	1367	2689
337	1371	2685
338	1375	2681
339	1379	2677
340	1383	2672
341	1387	2668
342	1390	2664
343	1394	2660
344	1398	2655
345	1402	2651
346	1406	2647
347	1410	2642
348	1414	2638
349	1418	2634
350	1422	2630
351	1426	2626
352	1430	2622
353	1434	2618
354	1438	2613
355	1442	2609
356	1446	2606
357	1451	2603
358	1455	2599
359	1459	2594
360	1463	2590
361	1467	2586
362	1471	2582
363	1475	2578
364	1479	2574
365	1483	2570
366	1487	2566
367	1492	2562
368	1495	2558
369	1499	2554
370	1504	2549
371	1508	2545
372	1512	2543
373	1516	2538
374	1520	2534
375	1524	2530
376	1528	2526
377	1532	2522
378	1536	2518
379	1540	2514
380	1545	2510
381	1548	2505
382	1553	2502
383	1557	2497
384	1561	2493
385	1565	2489
386	1569	2486
387	1573	2482
388	1577	2477
389	1581	2474
390	1585	2469
391	1589	2465
392	1593	2461
393	1597	2457
394	1601	2453
395	1605	2449
396	1610	2445
397	1614	2441
398	1617	2436
399	1621	2432
400	1625	2428
401	1630	2425
402	1634	2421
403	1639	2418
404	1644	2415
405	1648	2411
406	1651	2406
407	1656	2403
408	1660	2399
409	1664	2395
410	1668	2391
411	1672	2387
412	1676	2382
413	1680	2378
414	1684	2374
415	1688	2370
416	1692	2366
417	1696	2362
418	1701	2358
419	1704	2354
420	1708	2350
421	1713	2346
422	1717	2342
423	1721	2338
424	1724	2333
425	1729	2329
426	1733	2326
427	1737	2321
428	1741	2317
429	1745	2313
430	1749	2309
431	1753	2305
432	1757	2301
433	1761	2297
434	1765	2293
435	1769	2289
436	1773	2285
437	1777	2281
438	1781	2276
439	1785	2272
440	1789	2268
441	1793	2264
442	1797	2260
443	1801	2256
444	1805	2252
445	1809	2248
446	1813	2243
447	1817	2239
448	1821	2235
449	1825	2231
450	1829	2227
451	1833	2222
452	1837	2218
453	1841	2214
454	1845	2210
455	1849	2206
456	1853	2201
457	1857	2197
458	1861	2193
459	1865	2189
460	1869	2185
461	1873	2181
462	1877	2177
463	1881	2173
464	1885	2169
465	1889	2164
466	1893	2160
467	1897	2156
468	1901	2152
469	1905	2148
470	1909	2144
471	1913	2140
472	1917	2136
473	1921	2132
474	1925	2128
475	1929	2124
476	1933	2119
477	1937	2115
478	1941	2111
479	1945	2107
480	1949	2103
481	1953	2099
482	1957	2095
483	1961	2091
484	1965	2086
