name,full_name,stars,forks,watchers,open_issues,size,has_wiki,has_projects,has_downloads,is_fork,archived,created_at,updated_at,pushed_at,language,license,subscribers_count,contributors_count,commits_count,readme_size
freeCodeCamp,freeCodeCamp/freeCodeCamp,417516,39997,417516,283,497356,0,1,1,0,0,2014-12-24T17:49:19Z,2025-05-04T07:38:21Z,2025-05-03T11:08:48Z,TypeScript,bsd-3-clause,30,30,30,32109
build-your-own-x,codecrafters-io/build-your-own-x,377651,35155,377651,373,1061,0,0,1,0,0,2018-05-09T12:03:18Z,2025-05-04T07:38:32Z,2025-04-11T19:13:28Z,Markdown,,30,30,30,45203
awesome,sindresorhus/awesome,358846,29028,358846,58,1485,0,0,1,0,0,2014-07-11T13:42:37Z,2025-05-04T07:35:07Z,2025-04-08T10:52:40Z,,cc0-1.0,30,30,30,79018
free-programming-books,EbookFoundation/free-programming-books,356138,63279,356138,74,19455,0,0,1,0,0,2013-10-11T06:50:37Z,2025-05-04T07:22:44Z,2025-05-02T22:47:56Z,HTML,cc-by-4.0,30,30,30,15689
public-apis,public-apis/public-apis,338543,35717,338543,457,5030,0,0,1,0,0,2016-03-20T23:49:42Z,2025-05-04T07:12:05Z,2024-10-31T19:50:02Z,Python,mit,30,30,30,192180
developer-roadmap,kamranahmedse/developer-roadmap,317249,41157,317249,230,259532,1,0,1,0,0,2017-03-15T13:45:52Z,2025-05-04T07:26:24Z,2025-05-04T00:14:48Z,TypeScript,other,30,30,30,7912
coding-interview-university,jwasham/coding-interview-university,316796,78667,316796,68,22600,0,0,1,0,0,2016-06-06T02:34:12Z,2025-05-04T07:34:58Z,2024-12-05T23:47:30Z,,cc-by-sa-4.0,30,30,30,136655
system-design-primer,donnemartin/system-design-primer,297989,49513,297989,491,11220,1,1,1,0,0,2017-02-26T16:15:28Z,2025-05-04T07:35:26Z,2024-12-02T01:10:39Z,Python,other,30,30,30,109526
996.ICU,996icu/996.ICU,270809,21094,270809,16703,187831,0,0,1,0,0,2019-03-26T07:31:14Z,2025-05-04T07:32:24Z,2024-10-03T12:29:12Z,,other,30,30,30,6901
awesome-python,vinta/awesome-python,242301,25613,242301,477,6769,0,0,1,0,0,2014-06-27T21:00:06Z,2025-05-04T07:24:09Z,2024-08-11T17:10:18Z,Python,other,30,30,30,78506
react,facebook/react,235140,48382,235140,1027,883738,0,0,1,0,0,2013-05-24T16:15:54Z,2025-05-04T07:28:48Z,2025-05-03T07:26:10Z,JavaScript,mit,30,30,30,5317
awesome-selfhosted,awesome-selfhosted/awesome-selfhosted,227110,10605,227110,0,16697,0,0,1,0,0,2015-06-01T02:33:17Z,2025-05-04T07:28:28Z,2025-04-30T14:57:57Z,,other,30,30,30,307263
project-based-learning,practical-tutorials/project-based-learning,226554,29597,226554,221,438,1,1,1,0,0,2017-04-12T05:07:46Z,2025-05-04T07:19:18Z,2024-08-15T05:33:54Z,,mit,30,30,30,52018
vue,vuejs/vue,208807,33742,208807,603,32152,1,1,1,0,0,2013-07-29T03:24:51Z,2025-05-04T06:46:07Z,2024-10-10T07:24:15Z,TypeScript,mit,30,30,30,7874
Python,TheAlgorithms/Python,200128,46683,200128,381,15240,1,1,1,0,0,2016-07-16T09:44:01Z,2025-05-04T07:06:22Z,2025-04-28T17:56:04Z,Python,mit,30,30,30,2770
linux,torvalds/linux,192819,55722,192819,464,5556718,0,1,1,0,0,2011-09-04T22:48:12Z,2025-05-04T06:27:40Z,2025-05-03T23:32:30Z,C,other,30,0,30,726
javascript-algorithms,trekhleb/javascript-algorithms,191130,30656,191130,364,13564,0,0,1,0,0,2018-03-24T07:47:04Z,2025-05-04T06:27:07Z,2025-02-12T16:19:59Z,JavaScript,mit,30,30,30,25608
tensorflow,tensorflow/tensorflow,189761,74656,189761,8698,1186059,0,1,1,0,0,2015-11-07T01:19:20Z,2025-05-04T06:25:56Z,2025-05-04T07:36:50Z,C++,apache-2.0,30,30,30,11912
You-Dont-Know-JS,getify/You-Dont-Know-JS,181956,33617,181956,125,15059,0,1,1,0,0,2013-11-16T02:37:24Z,2025-05-04T07:04:07Z,2025-05-01T02:05:28Z,,other,30,30,30,4105
CS-Notes,CyC2018/CS-Notes,180011,51202,180011,187,116179,1,1,1,0,0,2018-02-13T14:56:24Z,2025-05-04T07:25:34Z,2024-08-21T09:40:10Z,,,30,30,30,8114
computer-science,ossu/computer-science,178875,22675,178875,14,1741,1,1,1,0,0,2014-05-04T00:18:39Z,2025-05-04T07:01:15Z,2025-04-11T22:35:04Z,HTML,mit,30,30,30,29788
ohmyzsh,ohmyzsh/ohmyzsh,178116,26064,178116,472,12788,1,1,1,0,0,2009-08-28T18:15:37Z,2025-05-04T06:47:57Z,2025-04-29T08:42:47Z,Shell,mit,30,30,30,21165
AutoGPT,Significant-Gravitas/AutoGPT,175009,45665,175009,190,242820,1,0,1,0,0,2023-03-16T09:21:07Z,2025-05-04T07:11:25Z,2025-05-03T23:24:42Z,Python,other,30,30,30,8895
bootstrap,twbs/bootstrap,172276,79083,172276,535,255166,0,1,1,0,0,2011-07-29T21:19:00Z,2025-05-04T05:40:48Z,2025-05-03T19:20:25Z,MDX,mit,30,30,30,13573
vscode,microsoft/vscode,170687,31951,170687,10095,1005839,1,1,1,0,0,2015-09-03T20:23:38Z,2025-05-04T07:34:26Z,2025-05-03T14:25:21Z,TypeScript,mit,30,30,30,6860
flutter,flutter/flutter,170060,28452,170060,13143,313081,1,1,1,0,0,2015-03-06T22:54:58Z,2025-05-04T06:38:40Z,2025-05-04T02:43:58Z,Dart,bsd-3-clause,30,30,30,6975
the-book-of-secret-knowledge,trimstray/the-book-of-secret-knowledge,168150,10531,168150,89,1748,0,0,1,0,0,2018-06-23T10:43:14Z,2025-05-04T07:30:12Z,2024-11-19T14:00:38Z,,mit,30,30,30,211676
gitignore,github/gitignore,166199,83088,166199,495,2568,0,0,1,0,0,2010-11-08T20:17:14Z,2025-05-04T06:59:59Z,2025-05-02T22:04:55Z,,cc0-1.0,30,30,30,7022
Python-100-Days,jackfrued/Python-100-Days,165697,53694,165697,716,396875,1,1,1,0,0,2018-03-01T16:05:52Z,2025-05-04T07:28:51Z,2025-03-28T10:29:23Z,Jupyter Notebook,,30,12,30,31103
the-art-of-command-line,jlevy/the-art-of-command-line,155830,14652,155830,248,2772,0,1,1,0,0,2015-05-20T15:11:03Z,2025-05-04T06:45:27Z,2024-06-25T18:13:44Z,,,30,30,30,40906
stable-diffusion-webui,AUTOMATIC1111/stable-diffusion-webui,151993,28274,151993,2397,36427,1,1,1,0,0,2022-08-22T14:05:26Z,2025-05-04T06:52:26Z,2025-05-03T06:17:03Z,Python,agpl-3.0,30,30,30,12924
JavaGuide,Snailclimb/JavaGuide,149447,45817,149447,70,176901,1,1,1,0,0,2018-05-07T13:27:00Z,2025-05-04T06:27:26Z,2025-04-28T23:08:00Z,Java,apache-2.0,30,30,30,21966
javascript,airbnb/javascript,146656,26744,146656,173,3689,1,0,1,0,0,2012-11-01T23:13:50Z,2025-05-04T07:03:09Z,2024-12-09T06:56:18Z,JavaScript,mit,30,30,30,129525
transformers,huggingface/transformers,143804,28837,143804,1792,301543,1,1,1,0,0,2018-10-29T13:56:00Z,2025-05-04T06:39:26Z,2025-05-03T17:59:17Z,Python,apache-2.0,30,30,30,16796
awesome-go,avelino/awesome-go,142973,12264,142973,118,10507,0,0,1,0,0,2014-07-06T13:42:15Z,2025-05-04T06:54:48Z,2025-05-01T04:45:23Z,Go,mit,30,30,30,357854
ollama,ollama/ollama,139431,11636,139431,1783,43685,0,0,1,0,0,2023-06-26T19:39:32Z,2025-05-04T07:38:56Z,2025-05-03T21:07:01Z,Go,mit,30,30,30,37003
youtube-dl,ytdl-org/youtube-dl,135472,10320,135472,4172,65437,0,1,1,0,0,2010-10-31T14:35:07Z,2025-05-04T06:07:02Z,2025-05-03T23:53:28Z,Python,unlicense,30,30,30,101042
Microsoft-Activation-Scripts,massgravel/Microsoft-Activation-Scripts,133272,12943,133272,0,10494,0,1,1,0,0,2020-01-12T23:03:34Z,2025-05-04T07:27:36Z,2025-05-03T20:52:03Z,Batchfile,gpl-3.0,30,8,30,3728
next.js,vercel/next.js,131561,28305,131561,3209,2235152,0,0,1,0,0,2016-10-05T23:32:51Z,2025-05-04T07:39:53Z,2025-05-04T07:05:14Z,JavaScript,mit,30,30,30,3337
fucking-algorithm,labuladong/fucking-algorithm,127775,23356,127775,42,126276,1,1,1,0,0,2020-02-19T09:01:23Z,2025-05-04T06:13:11Z,2025-01-31T06:30:22Z,Markdown,,30,30,30,34005
go,golang/go,127561,18008,127561,9436,392769,1,1,1,0,0,2014-08-19T04:33:40Z,2025-05-04T06:50:04Z,2025-05-02T20:30:54Z,Go,bsd-3-clause,30,30,30,1454
tech-interview-handbook,yangshun/tech-interview-handbook,125927,15367,125927,53,32500,1,0,1,0,0,2016-07-05T05:00:48Z,2025-05-04T06:12:05Z,2025-04-28T00:33:05Z,TypeScript,mit,30,30,30,10794
awesome-chatgpt-prompts,f/awesome-chatgpt-prompts,123884,16585,123884,264,1476,0,0,1,0,0,2022-12-05T13:54:13Z,2025-05-04T07:31:34Z,2025-04-30T18:07:10Z,JavaScript,cc0-1.0,30,30,30,135612
30-seconds-of-code,Chalarangelo/30-seconds-of-code,123537,12156,123537,1,706608,0,0,1,0,0,2017-11-29T17:35:03Z,2025-05-04T07:10:24Z,2025-04-30T19:36:09Z,JavaScript,cc-by-4.0,30,30,30,1540
react-native,facebook/react-native,121790,24623,121790,935,915908,1,1,1,0,0,2015-01-09T18:10:16Z,2025-05-04T06:52:30Z,2025-05-03T06:25:31Z,C++,mit,30,30,30,6480
